,DATA,REGIÃO,ESTADO,VALOR REVENDA,ANO,MES,MES/ANO
0,2004-05-09,CENTRO OESTE,DISTRITO FEDERAL,2.029,2004,5,05/2004
1,2004-05-09,CENTRO OESTE,GOIAS,2.025,2004,5,05/2004
2,2004-05-09,CENTRO OESTE,MATO GROSSO,2.358,2004,5,05/2004
3,2004-05-09,CENTRO OESTE,MATO GROSSO DO SUL,2.12,2004,5,05/2004
4,2004-05-09,NORDESTE,ALAGOAS,2.09,2004,5,05/2004
5,2004-05-09,NORDESTE,BAHIA,2.04,2004,5,05/2004
6,2004-05-09,NORDESTE,CEARA,2.148,2004,5,05/2004
7,2004-05-09,NORDESTE,MARANHAO,2.089,2004,5,05/2004
8,2004-05-09,NORDESTE,PARAIBA,1.989,2004,5,05/2004
9,2004-05-09,NORDESTE,PERNAMBUCO,2.008,2004,5,05/2004
10,2004-05-09,NORDESTE,PIAUI,2.099,2004,5,05/2004
11,2004-05-09,NORDESTE,RIO GRANDE DO NORTE,1.98,2004,5,05/2004
12,2004-05-09,NORDESTE,SERGIPE,1.968,2004,5,05/2004
13,2004-05-09,NORTE,ACRE,2.388,2004,5,05/2004
14,2004-05-09,NORTE,AMAPA,2.175,2004,5,05/2004
15,2004-05-09,NORTE,AMAZONAS,2.044,2004,5,05/2004
16,2004-05-09,NORTE,PARA,2.332,2004,5,05/2004
17,2004-05-09,NORTE,RONDONIA,2.336,2004,5,05/2004
18,2004-05-09,NORTE,RORAIMA,1.995,2004,5,05/2004
19,2004-05-09,NORTE,TOCANTINS,2.089,2004,5,05/2004
20,2004-05-09,SUDESTE,ESPIRITO SANTO,2.026,2004,5,05/2004
21,2004-05-09,SUDESTE,MINAS GERAIS,1.981,2004,5,05/2004
22,2004-05-09,SUDESTE,RIO DE JANEIRO,2.045,2004,5,05/2004
23,2004-05-09,SUDESTE,SAO PAULO,1.891,2004,5,05/2004
24,2004-05-09,SUL,PARANA,1.966,2004,5,05/2004
25,2004-05-09,SUL,RIO GRANDE DO SUL,2.135,2004,5,05/2004
26,2004-05-09,SUL,SANTA CATARINA,2.07,2004,5,05/2004
27,2004-05-16,CENTRO OESTE,DISTRITO FEDERAL,2.025,2004,5,05/2004
28,2004-05-16,CENTRO OESTE,GOIAS,2.027,2004,5,05/2004
29,2004-05-16,CENTRO OESTE,MATO GROSSO,2.354,2004,5,05/2004
30,2004-05-16,CENTRO OESTE,MATO GROSSO DO SUL,2.114,2004,5,05/2004
31,2004-05-16,NORDESTE,ALAGOAS,2.089,2004,5,05/2004
32,2004-05-16,NORDESTE,BAHIA,2.045,2004,5,05/2004
33,2004-05-16,NORDESTE,CEARA,2.147,2004,5,05/2004
34,2004-05-16,NORDESTE,MARANHAO,2.07,2004,5,05/2004
35,2004-05-16,NORDESTE,PARAIBA,1.987,2004,5,05/2004
36,2004-05-16,NORDESTE,PERNAMBUCO,2.012,2004,5,05/2004
37,2004-05-16,NORDESTE,PIAUI,2.099,2004,5,05/2004
38,2004-05-16,NORDESTE,RIO GRANDE DO NORTE,1.97,2004,5,05/2004
39,2004-05-16,NORDESTE,SERGIPE,1.969,2004,5,05/2004
40,2004-05-16,NORTE,ACRE,2.438,2004,5,05/2004
41,2004-05-16,NORTE,AMAPA,2.235,2004,5,05/2004
42,2004-05-16,NORTE,AMAZONAS,2.042,2004,5,05/2004
43,2004-05-16,NORTE,PARA,2.329,2004,5,05/2004
44,2004-05-16,NORTE,RONDONIA,2.326,2004,5,05/2004
45,2004-05-16,NORTE,RORAIMA,1.995,2004,5,05/2004
46,2004-05-16,NORTE,TOCANTINS,2.091,2004,5,05/2004
47,2004-05-16,SUDESTE,ESPIRITO SANTO,2.014,2004,5,05/2004
48,2004-05-16,SUDESTE,MINAS GERAIS,1.978,2004,5,05/2004
49,2004-05-16,SUDESTE,RIO DE JANEIRO,2.04,2004,5,05/2004
